Marginal $2020/ton C,Mtons C
0,35.77559213
1.621719,71.55118425
3.243438,67.97362504
4.865157,64.39606583
6.486876,57.2409474
8.108595,57.2409474
9.730314,60.81850661
11.352033,67.97362504
12.973752,57.2409474
14.595471,57.2409474
16.21719,78.70630268
17.838909,60.81850661
19.460628,60.81850661
21.082347,64.39606583
22.704066,60.81850661
24.325785,75.12874346
25.947504,67.97362504
27.569223,57.2409474
29.190942,78.70630268
30.812661,261.1618225
32.43438,379.2212765
34.056099,64.39606583
35.677818,67.97362504
37.299537,965.9409874
38.921256,50.08582898
40.542975,64.39606583
42.164694,236.118908
43.786413,53.66338819
45.408132,53.66338819
47.029851,53.66338819
48.65157,50.08582898
50.273289,57.2409474
51.895008,42.93071055
53.516727,50.08582898
55.138446,46.50826976
56.760165,50.08582898
58.381884,50.08582898
60.003603,50.08582898
61.625322,50.08582898
63.247041,50.08582898
64.86876,53.66338819
66.490479,50.08582898
68.112198,50.08582898
69.733917,46.50826976
71.355636,50.08582898
72.977355,50.08582898
74.599074,46.50826976
76.220793,50.08582898
77.842512,46.50826976
79.464231,57.2409474
81.08595,50.08582898
82.707669,46.50826976
84.329388,46.50826976
85.951107,50.08582898
87.572826,57.2409474
89.194545,42.93071055
90.816264,50.08582898
92.437983,42.93071055
94.059702,57.2409474
95.681421,46.50826976
97.30314,46.50826976
98.924859,46.50826976
100.546578,53.66338819
102.168297,46.50826976
103.790016,50.08582898
105.411735,46.50826976
107.033454,46.50826976
108.655173,46.50826976
110.276892,42.93071055
111.898611,50.08582898
113.52033,42.93071055
115.142049,53.66338819
116.763768,46.50826976
118.385487,46.50826976
120.007206,57.2409474
121.628925,46.50826976
123.250644,53.66338819
124.872363,42.93071055
126.494082,50.08582898
128.115801,50.08582898
129.73752,46.50826976
131.359239,50.08582898
132.980958,46.50826976
134.602677,42.93071055
136.224396,28.6204737
137.846115,25.04291449
139.467834,25.04291449
141.089553,21.46535528
142.711272,14.31023685
144.332991,21.46535528
145.95471,21.46535528
147.576429,17.88779606
149.198148,21.46535528
150.819867,17.88779606
152.441586,21.46535528
154.063305,28.6204737
155.685024,17.88779606
157.306743,21.46535528
158.928462,21.46535528
160.550181,21.46535528
162.1719,21.46535528
163.793619,17.88779606
165.415338,21.46535528
167.037057,17.88779606
168.658776,239.6964672
170.280495,14.31023685
171.902214,17.88779606
173.523933,17.88779606
175.145652,21.46535528
176.767371,25.04291449
178.38909,21.46535528
180.010809,17.88779606
181.632528,21.46535528
183.254247,14.31023685
184.875966,21.46535528
186.497685,17.88779606
188.119404,14.31023685
189.741123,67.97362504
191.362842,17.88779606
192.984561,14.31023685
194.60628,17.88779606
196.227999,25.04291449
197.849718,21.46535528
199.471437,21.46535528
201.093156,21.46535528
202.714875,17.88779606
204.336594,14.31023685
205.958313,25.04291449
207.580032,14.31023685
209.201751,14.31023685
210.82347,17.88779606
212.445189,17.88779606
214.066908,21.46535528
215.688627,17.88779606
217.310346,21.46535528
218.932065,17.88779606
220.553784,17.88779606
222.175503,17.88779606
223.797222,17.88779606
225.418941,14.31023685
227.04066,17.88779606
228.662379,21.46535528
230.284098,14.31023685
231.905817,17.88779606
233.527536,25.04291449
235.149255,14.31023685
236.770974,14.31023685
238.392693,25.04291449
240.014412,17.88779606
241.636131,14.31023685
243.25785,17.88779606
244.879569,17.88779606
246.501288,14.31023685
248.123007,17.88779606
249.744726,21.46535528
251.366445,32.19803291
252.988164,14.31023685
254.609883,14.31023685
256.231602,7.155118425
261.096759,7.155118425
262.718478,3.577559213
265.961916,3.577559213
267.583635,7.155118425
270.827073,3.577559213
272.448792,3.577559213
274.070511,7.155118425
275.69223,3.577559213
278.935668,7.155118425
280.557387,3.577559213
285.422544,7.155118425
287.044263,3.577559213
288.665982,3.577559213
290.287701,3.577559213
291.90942,3.577559213
293.531139,3.577559213
295.152858,3.577559213
298.396296,7.155118425
300.018015,3.577559213
301.639734,3.577559213
304.883172,7.155118425
306.504891,3.577559213
308.12661,7.155118425
309.748329,3.577559213
311.370048,7.155118425
314.613486,7.155118425
316.235205,7.155118425
321.100362,3.577559213
322.722081,3.577559213
324.3438,3.577559213
325.965519,3.577559213
329.208957,3.577559213
330.830676,3.577559213
335.695833,7.155118425
337.317552,7.155118425
342.182709,3.577559213
343.804428,3.577559213
350.291304,7.155118425
351.913023,3.577559213
356.77818,3.577559213
360.021618,7.155118425
363.265056,3.577559213
364.886775,3.577559213
369.751932,3.577559213
377.860527,10.73267764
384.347403,7.155118425
385.969122,3.577559213
390.834279,3.577559213
392.455998,7.155118425
395.699436,3.577559213
398.942874,3.577559213
405.42975,7.155118425
407.051469,3.577559213
408.673188,3.577559213
413.538345,3.577559213
420.025221,7.155118425
428.133816,3.577559213
434.620692,10.73267764
442.729287,3.577559213
445.972725,3.577559213
449.216163,3.577559213
450.837882,7.155118425
457.324758,3.577559213
458.946477,7.155118425
460.568196,3.577559213
465.433353,7.155118425
468.676791,3.577559213
473.541948,3.577559213
478.407105,3.577559213
480.028824,3.577559213
481.650543,3.577559213
488.137419,3.577559213
489.759138,3.577559213
496.246014,3.577559213
497.867733,3.577559213
504.354609,3.577559213
505.976328,3.577559213
512.463204,3.577559213
514.084923,3.577559213
515.706642,3.577559213
517.328361,3.577559213
522.193518,3.577559213
527.058675,3.577559213
530.302113,3.577559213
538.410708,3.577559213
543.275865,7.155118425
546.519303,3.577559213
553.006179,3.577559213
556.249617,3.577559213
561.114774,3.577559213
564.358212,7.155118425
572.466807,7.155118425
574.088526,3.577559213
575.710245,3.577559213
577.331964,3.577559213
580.575402,3.577559213
590.305716,3.577559213
593.549154,3.577559213
598.414311,3.577559213
603.279468,3.577559213
608.144625,3.577559213
611.388063,3.577559213
616.25322,3.577559213
625.983534,3.577559213
629.226972,3.577559213
632.47041,3.577559213
634.092129,7.155118425
638.957286,3.577559213
643.822443,3.577559213
645.444162,3.577559213
653.552757,3.577559213
660.039633,3.577559213
661.661352,3.577559213
663.283071,3.577559213
664.90479,3.577559213
668.148228,3.577559213
671.391666,3.577559213
673.013385,3.577559213
681.12198,3.577559213
682.743699,7.155118425
685.987137,3.577559213
690.852294,3.577559213
697.33917,3.577559213
700.582608,3.577559213
708.691203,3.577559213
711.934641,3.577559213
718.421517,3.577559213
728.151831,3.577559213
729.77355,3.577559213
737.882145,3.577559213
742.747302,3.577559213
747.612459,3.577559213
758.964492,3.577559213
763.829649,3.577559213
768.694806,3.577559213
775.181682,3.577559213
778.42512,3.577559213
781.668558,3.577559213
783.290277,3.577559213
788.155434,3.577559213
794.64231,3.577559213
797.885748,7.155118425
809.237781,3.577559213
818.968095,7.155118425
828.698409,3.577559213
833.563566,3.577559213
836.807004,3.577559213
840.050442,3.577559213
849.780756,3.577559213
853.024194,3.577559213
861.132789,3.577559213
867.619665,3.577559213
869.241384,3.577559213
870.863103,3.577559213
874.106541,3.577559213
882.215136,3.577559213
891.94545,3.577559213
903.297483,3.577559213
906.540921,3.577559213
914.649516,3.577559213
916.271235,7.155118425
917.892954,3.577559213
926.001549,3.577559213
932.488425,3.577559213
935.731863,3.577559213
943.840458,3.577559213
947.083896,3.577559213
958.435929,7.155118425
968.166243,3.577559213
969.787962,3.577559213
981.139995,7.155118425
992.492028,3.577559213
1003.844061,3.577559213
1007.087499,3.577559213
1015.196094,3.577559213
1020.061251,3.577559213
1026.548127,3.577559213
1034.656722,3.577559213
1037.90016,3.577559213
1049.252193,3.577559213
1052.495631,3.577559213
1058.982507,3.577559213
1060.604226,3.577559213
1062.225945,89.43898031
1071.956259,3.577559213
1073.577978,3.577559213
1076.821416,3.577559213
1084.930011,7.155118425
1096.282044,3.577559213
1101.147201,3.577559213
1109.255796,3.577559213
1120.607829,7.155118425
1133.581581,3.577559213
1141.690176,3.577559213
1144.933614,3.577559213
1157.907366,3.577559213
1159.529085,3.577559213
1169.259399,3.577559213
1170.881118,3.577559213
1182.233151,3.577559213
1183.85487,3.577559213
1195.206903,3.577559213
1206.558936,3.577559213
1219.532688,3.577559213
1221.154407,3.577559213
1226.019564,3.577559213
1232.50644,3.577559213
1242.236754,3.577559213
1245.480192,3.577559213
1255.210506,3.577559213
1258.453944,3.577559213
1269.805977,7.155118425
1271.427696,3.577559213
1282.779729,3.577559213
1295.753481,3.577559213
1308.727233,3.577559213
1313.59239,3.577559213
1321.700985,3.577559213
1336.296456,3.577559213
1339.539894,3.577559213
1349.270208,3.577559213
1359.000522,3.577559213
1362.24396,3.577559213
1373.595993,3.577559213
1375.217712,3.577559213
1388.191464,7.155118425
1402.786935,3.577559213
1404.408654,3.577559213
1415.760687,3.577559213
1428.734439,3.577559213
1430.356158,3.577559213
1443.32991,7.155118425
1449.816786,3.577559213
1456.303662,3.577559213
