"Plantable million hectares/year, bid qty per contract","$/hectare Loblolly Pine, 150 years","$/hectare ponderosa pine, 150 years","$/hectare black walnut, 150 years","$/hectare Loblolly Pine, 10 years","$/hectare ponderosa pine, 10 years","$/hectare black walnut, 10 years","$/hectare Loblolly Pine, 24 years","$/hectare ponderosa pine, 103 years","$/hectare black walnut, 55 years"
0.111111111,5934.2062,10901.1252,6330.9053,658.7861,343.1861,415.5272,2634.3727,8425.1313,3065.3326
0.111111111,6012.1738,11044.3517,6414.0851,667.4417,347.6951,420.9866,2668.9849,8535.8264,3105.607
0.111111111,6090.1415,11187.5781,6497.2649,676.0973,352.2041,426.4461,2703.5971,8646.5216,3145.8815
0.111111111,6168.1092,11330.8046,6580.4446,684.7529,356.7131,431.9056,2738.2093,8757.2168,3186.1559
0.111111111,6246.0768,11474.031,6663.6244,693.4084,361.2221,437.3651,2772.8215,8867.9119,3226.4304
0.111111111,6324.0445,11617.2575,6746.8042,702.064,365.7311,442.8246,2807.4337,8978.6071,3266.7048
0.111111111,6402.0122,11760.484,6829.984,710.7196,370.2401,448.2841,2842.0459,9089.3022,3306.9793
0.111111111,6479.9799,11903.7104,6913.1638,719.3752,374.7492,453.7435,2876.6581,9199.9974,3347.2537
0.111111111,6557.9475,12046.9369,6996.3435,728.0308,379.2582,459.203,2911.2703,9310.6925,3387.5281
0.111111111,6635.9152,12190.1634,7079.5233,736.6864,383.7672,464.6625,2945.8824,9421.3877,3427.8026
0.111111111,6713.8829,12333.3898,7162.7031,745.3419,388.2762,470.122,2980.4946,9532.0828,3468.077
0.111111111,6791.8505,12476.6163,7245.8829,753.9975,392.7852,475.5815,3015.1068,9642.778,3508.3515
0.111111111,6869.8182,12619.8427,7329.0626,762.6531,397.2942,481.0409,3049.719,9753.4731,3548.6259
0.111111111,6947.7859,12763.0692,7412.2424,771.3087,401.8032,486.5004,3084.3312,9864.1683,3588.9004
0.111111111,7025.7536,12906.2957,7495.4222,779.9643,406.3123,491.9599,3118.9434,9974.8635,3629.1748
0.111111111,7103.7212,13049.5221,7578.602,788.6199,410.8213,497.4194,3153.5556,10085.5586,3669.4492
0.111111111,7181.6889,13192.7486,7661.7818,797.2754,415.3303,502.8789,3188.1678,10196.2538,3709.7237
0.111111111,7259.6566,13335.9751,7744.9615,805.931,419.8393,508.3383,3222.78,10306.9489,3749.9981
0.111111111,7337.6242,13479.2015,7828.1413,814.5866,424.3483,513.7978,3257.3922,10417.6441,3790.2726
0.111111111,7415.5919,13622.428,7911.3211,823.2422,428.8573,519.2573,3292.0044,10528.3392,3830.547
0.111111111,7493.5596,13765.6544,7994.5009,831.8978,433.3663,524.7168,3326.6166,10639.0344,3870.8215
0.111111111,7571.5273,13908.8809,8077.6806,840.5534,437.8754,530.1763,3361.2288,10749.7295,3911.0959
0.111111111,7649.4949,14052.1074,8160.8604,849.2089,442.3844,535.6357,3395.841,10860.4247,3951.3703
0.111111111,7727.4626,14195.3338,8244.0402,857.8645,446.8934,541.0952,3430.4532,10971.1199,3991.6448
0.111111111,7805.4303,14338.5603,8327.22,866.5201,451.4024,546.5547,3465.0654,11081.815,4031.9192
0.111111111,7883.3979,14481.7868,8410.3998,875.1757,455.9114,552.0142,3499.6776,11192.5102,4072.1937
0.111111111,7961.3656,14625.0132,8493.5795,883.8313,460.4204,557.4737,3534.2898,11303.2053,4112.4681
0.111111111,8039.3333,14768.2397,8576.7593,892.4869,464.9294,562.9332,3568.902,11413.9005,4152.7426
0.111111111,8117.301,14911.4662,8659.9391,901.1424,469.4385,568.3926,3603.5142,11524.5956,4193.017
0.111111111,8195.2686,15054.6926,8743.1189,909.798,473.9475,573.8521,3638.1264,11635.2908,4233.2914
0.111111111,8273.2363,15197.9191,8826.2986,918.4536,478.4565,579.3116,3672.7386,11745.9859,4273.5659
0.111111111,8351.204,15341.1455,8909.4784,927.1092,482.9655,584.7711,3707.3508,11856.6811,4313.8403
0.111111111,8429.1716,15484.372,8992.6582,935.7648,487.4745,590.2306,3741.963,11967.3763,4354.1148
0.111111111,8507.1393,15627.5985,9075.838,944.4204,491.9835,595.69,3776.5752,12078.0714,4394.3892
0.111111111,8585.107,15770.8249,9159.0178,953.0759,496.4925,601.1495,3811.1873,12188.7666,4434.6637
0.111111111,8663.0747,15914.0514,9242.1975,961.7315,501.0016,606.609,3845.7995,12299.4617,4474.9381
0.111111111,8741.0423,16057.2779,9325.3773,970.3871,505.5106,612.0685,3880.4117,12410.1569,4515.2125
0.111111111,8819.01,16200.5043,9408.5571,979.0427,510.0196,617.528,3915.0239,12520.852,4555.487
0.111111111,8896.9777,16343.7308,9491.7369,987.6983,514.5286,622.9874,3949.6361,12631.5472,4595.7614
0.111111111,8974.9453,16486.9572,9574.9166,996.3539,519.0376,628.4469,3984.2483,12742.2423,4636.0359
0.111111111,9052.913,16630.1837,9658.0964,1005.0094,523.5466,633.9064,4018.8605,12852.9375,4676.3103
0.111111111,9130.8807,16773.4102,9741.2762,1013.665,528.0556,639.3659,4053.4727,12963.6327,4716.5848
0.111111111,9208.8484,16916.6366,9824.456,1022.3206,532.5647,644.8254,4088.0849,13074.3278,4756.8592
0.111111111,9286.816,17059.8631,9907.6358,1030.9762,537.0737,650.2848,4122.6971,13185.023,4797.1336
0.111111111,9364.7837,17203.0896,9990.8155,1039.6318,541.5827,655.7443,4157.3093,13295.7181,4837.4081
0.111111111,9442.7514,17346.316,10073.9953,1048.2874,546.0917,661.2038,4191.9215,13406.4133,4877.6825
0.111111111,9520.719,17489.5425,10157.1751,1056.9429,550.6007,666.6633,4226.5337,13517.1084,4917.957
0.111111111,9598.6867,17632.7689,10240.3549,1065.5985,555.1097,672.1228,4261.1459,13627.8036,4958.2314
0.111111111,9676.6544,17775.9954,10323.5346,1074.2541,559.6187,677.5823,4295.7581,13738.4987,4998.5059
0.111111111,9754.622,17919.2219,10406.7144,1082.9097,564.1277,683.0417,4330.3703,13849.1939,5038.7803
0.111111111,9832.5897,18062.4483,10489.8942,1091.5653,568.6368,688.5012,4364.9825,13959.889,5079.0547
0.111111111,9910.5574,18205.6748,10573.074,1100.2209,573.1458,693.9607,4399.5947,14070.5842,5119.3292
0.111111111,9988.5251,18348.9013,10656.2538,1108.8764,577.6548,699.4202,4434.2069,14181.2794,5159.6036
0.111111111,10066.4927,18492.1277,10739.4335,1117.532,582.1638,704.8797,4468.8191,14291.9745,5199.8781
0.111111111,10144.4604,18635.3542,10822.6133,1126.1876,586.6728,710.3391,4503.4313,14402.6697,5240.1525
0.111111111,10222.4281,18778.5806,10905.7931,1134.8432,591.1818,715.7986,4538.0435,14513.3648,5280.427
0.111111111,10300.3957,18921.8071,10988.9729,1143.4988,595.6908,721.2581,4572.6557,14624.06,5320.7014
0.111111111,10378.3634,19065.0336,11072.1526,1152.1544,600.1999,726.7176,4607.2679,14734.7551,5360.9758
0.111111111,10456.3311,19208.26,11155.3324,1160.8099,604.7089,732.1771,4641.88,14845.4503,5401.2503
0.111111111,10534.2988,19351.4865,11238.5122,1169.4655,609.2179,737.6365,4676.4922,14956.1454,5441.5247
0.111111111,10612.2664,19494.713,11321.692,1178.1211,613.7269,743.096,4711.1044,15066.8406,5481.7992
0.111111111,10690.2341,19637.9394,11404.8718,1186.7767,618.2359,748.5555,4745.7166,15177.5358,5522.0736
0.111111111,10768.2018,19781.1659,11488.0515,1195.4323,622.7449,754.015,4780.3288,15288.2309,5562.3481
0.111111111,10846.1694,19924.3923,11571.2313,1204.0879,627.2539,759.4745,4814.941,15398.9261,5602.6225
0.111111111,10924.1371,20067.6188,11654.4111,1212.7434,631.763,764.9339,4849.5532,15509.6212,5642.8969
0.111111111,11002.1048,20210.8453,11737.5909,1221.399,636.272,770.3934,4884.1654,15620.3164,5683.1714
0.111111111,11080.0725,20354.0717,11820.7706,1230.0546,640.781,775.8529,4918.7776,15731.0115,5723.4458
0.111111111,11158.0401,20497.2982,11903.9504,1238.7102,645.29,781.3124,4953.3898,15841.7067,5763.7203
0.111111111,11236.0078,20640.5247,11987.1302,1247.3658,649.799,786.7719,4988.002,15952.4018,5803.9947
0.111111111,11313.9755,20783.7511,12070.31,1256.0214,654.308,792.2314,5022.6142,16063.097,5844.2692
0.111111111,11391.9431,20926.9776,12153.4898,1264.6769,658.817,797.6908,5057.2264,16173.7922,5884.5436
0.111111111,11469.9108,21070.2041,12236.6695,1273.3325,663.3261,803.1503,5091.8386,16284.4873,5924.818
