Fig2, disc 0.015, temp0 944.727, 3rd payer, ffi removal, Wpt fitted, 2025-2125. Solve status Optimal. Total revenue -8450127.896082899
Year,Agriculture mtC,Black_walnut_10 mhectares,Black_walnut_150 mhectares,Black_walnut_55 mhectares,C2F6 kt,CF4 kt,CH4 mt,Carbon mtC,HFC125 kt,HFC134a kt,HFC143a kt,Loblolly_pine_10 mhectares,Loblolly_pine_150 mhectares,Loblolly_pine_24 mhectares,N2O mt,Ponderosa_pine_10 mhectares,Ponderosa_pine_103 mhectares,Ponderosa_pine_150 mhectares,SF6 kt,Seaweed mt,Agriculture % max bid,Black_walnut_10 % max bid,Black_walnut_150 % max bid,Black_walnut_55 % max bid,C2F6 % max bid,CF4 % max bid,CH4 % max bid,Carbon % max bid,HFC125 % max bid,HFC134a % max bid,HFC143a % max bid,Loblolly_pine_10 % max bid,Loblolly_pine_150 % max bid,Loblolly_pine_24 % max bid,N2O % max bid,Ponderosa_pine_10 % max bid,Ponderosa_pine_103 % max bid,Ponderosa_pine_150 % max bid,SF6 % max bid,Seaweed % max bid,Agriculture $M/mtC,Black_walnut_10 $M/mhectares,Black_walnut_150 $M/mhectares,Black_walnut_55 $M/mhectares,C2F6 $M/kt,CF4 $M/kt,CH4 $M/mt,Carbon $M/mtC,HFC125 $M/kt,HFC134a $M/kt,HFC143a $M/kt,Loblolly_pine_10 $M/mhectares,Loblolly_pine_150 $M/mhectares,Loblolly_pine_24 $M/mhectares,N2O $M/mt,Ponderosa_pine_10 $M/mhectares,Ponderosa_pine_103 $M/mhectares,Ponderosa_pine_150 $M/mhectares,SF6 $M/kt,Seaweed $M/mt,temp change,Capt pi
2025.0,686.66351,4.4444444,4.3333333,4.8888889,5.3983,12.2168,154.83028,9691.6079,89.349,173.879,64.3741,4.4444444,4.8888889,4.5555556,0.493,4.4444444,5.7777778,4.2222222,2.2441,727.06233,0.18082221455623912,0.19999999820000056,0.19499999869500054,0.22000000072000064,1.0000000005557312,0.9999999997544369,0.5955010769139153,0.947202796525907,0.9999999999776159,1.0000000000230045,0.9999999999378634,0.19999999820000056,0.22000000072000064,0.2050000022050006,0.0675249965758116,0.19999999820000056,0.2600000012600007,0.18999999919000055,1.0000000003119294,1.000000000330095,16.943948,411.65367,6157.1303,3261.0425,-69.697639,-32.27432,-34.086689,-16.943948,-6.2316469,-2.0791199,-13.050314,652.90658,6267.7982,2681.0033,-2086.7292,339.98083,10013.191,10535.043,-130.09484,16.943948,947.5235408,.
2026.0,686.66351,4.5555556,4.3333333,5.0,5.3983,12.2168,154.83028,9691.6079,89.349,173.879,64.3741,4.5555556,5.0,4.7777778,0.479,4.5555556,5.7777778,4.3333333,2.2441,727.06233,0.1808222145562391,0.2050000022050006,0.19499999869500054,0.22500000022500063,1.0000000005557306,0.9999999997544367,0.5955010769139154,0.9472027965259064,0.9999999999776159,1.000000000023004,0.9999999999378631,0.2050000022050006,0.22500000022500063,0.2150000012150006,0.06560745103410502,0.2050000022050006,0.2600000012600007,0.19499999869500054,1.000000000311929,1.000000000330095,16.972644,411.98592,6141.0474,3272.9735,-68.977211,-32.138438,-34.105376,-16.972644,-5.8661518,-2.0731959,-7.4475443,653.41959,6285.2063,2691.9669,-2097.3414,340.25556,9940.5864,10461.23,-118.65986,16.972644,952.4029664,.
2027.0,686.66351,4.6666667,4.4444444,5.2222222,5.3983,12.2168,154.83028,9691.6079,89.349,173.879,64.3741,4.6666667,5.1111111,4.8888889,0.465,4.6666667,5.8888889,4.3333333,2.2441,727.06233,0.18082221455623906,0.2100000017100006,0.19999999820000056,0.23499999923500067,1.0000000005557306,0.9999999997544372,0.5955010769139154,0.9472027965259067,0.9999999999776161,1.0000000000230045,0.9999999999378631,0.2100000017100006,0.22999999973000063,0.22000000072000064,0.06368990549239835,0.2100000017100006,0.2650000007650008,0.19499999869500054,1.0000000003119296,1.000000000330095,16.992369,412.33429,6124.5422,3284.9285,-69.867838,-32.154128,-34.587619,-16.992369,-6.1869982,-2.0624199,-13.189602,653.96075,6303.1976,2703.0138,-2108.1317,340.54354,9866.4122,10385.779,-130.0651,16.992369,958.551316,.
2028.0,686.66351,4.7777778,4.5555556,5.3333333,5.3983,12.2168,154.83028,9691.6079,89.349,173.879,64.3741,4.7777778,5.2222222,5.0,0.451,4.7777778,6.0,4.4444444,2.2441,727.06233,0.18082221455623912,0.2150000012150006,0.2050000022050006,0.23999999874000066,1.0000000005557306,0.9999999997544365,0.5955010769139153,0.947202796525906,0.9999999999776162,1.0000000000230045,0.9999999999378631,0.2150000012150006,0.23499999923500067,0.22500000022500063,0.06177235995069174,0.2150000012150006,0.27000000027000076,0.19999999820000056,1.0000000003119287,1.000000000330095,17.001856,412.66137,6107.4845,3297.4835,-69.058905,-32.018219,-34.82993,-17.001856,-6.0050718,-2.0583905,-13.000311,654.46313,6321.7533,2714.2522,-2118.4406,340.81404,9790.9649,10308.82,-129.31445,17.001856,965.443872,.
2029.0,686.66351,4.8888889,4.6666667,5.4444444,5.3983,12.2168,154.83028,9634.367,89.349,173.879,64.3741,4.8888889,5.4444444,5.1111111,0.444,4.8888889,6.0,4.4444444,2.2441,727.06233,0.18082221455623906,0.22000000072000064,0.2100000017100006,0.24499999824500068,1.0000000005557306,0.9999999997544369,0.5955010769139154,0.9416083955642597,0.9999999999776168,1.0000000000230043,0.9999999999378631,0.22000000072000064,0.24499999824500068,0.22999999973000063,0.06081358717983844,0.22000000072000064,0.27000000027000076,0.19999999820000056,1.0000000003119287,1.000000000330095,17.011598,412.9788,6089.9772,3311.1336,-69.176945,-38.300458,-35.316529,-17.011598,-11.3885,-2.6696703,-13.105003,654.9578,6340.5922,2725.3582,-2128.9945,341.07642,9714.5575,10230.715,-130.02032,17.011598,980.766326,.
2030.0,686.66351,5.0,4.6666667,5.6666667,5.3983,12.2168,154.83028,9634.367,89.349,173.879,64.3741,5.0,5.5555555,5.3333333,0.432,5.0,6.1111111,4.4444444,2.2441,727.06233,0.18082221455623906,0.22500000022500063,0.2100000017100006,0.25500000175500076,1.0000000005557306,0.9999999997544371,0.5955010769139154,0.9416083955642591,0.9999999999776154,1.0000000000230047,0.9999999999378634,0.22500000022500063,0.2499999977500007,0.23999999874000066,0.05916997671551847,0.22500000022500063,0.2749999997750008,0.19999999820000056,1.0000000003119294,1.000000000330095,17.023341,414.21944,6072.0288,3325.5393,-69.223249,-31.976764,-35.338428,-17.023341,-6.0342296,-2.084862,-13.068792,657.38908,6359.3061,2736.0392,-2130.3254,342.0904,9637.1339,10151.398,-129.51955,17.023341,1014.534132,.
2031.0,686.66351,5.1111111,4.7777778,5.7777778,5.3983,12.2168,154.83028,9634.367,89.349,173.879,64.3741,5.1111111,5.6666667,5.4444444,0.42,5.1111111,6.1111111,4.5555556,2.2441,727.06233,0.18082221455623912,0.22999999973000063,0.2150000012150006,0.2600000012600007,1.0000000005557304,0.9999999997544367,0.5955010769139154,0.9416083955642615,0.9999999999776158,1.0000000000230045,0.999999999937863,0.22999999973000063,0.25500000175500076,0.24499999824500068,0.05752636625119853,0.22999999973000063,0.2749999997750008,0.2050000022050006,1.0000000003119294,1.000000000330095,17.036034,415.49702,6053.5883,3340.6305,-68.858028,-38.472344,-35.821254,-17.036034,-11.30231,-2.6653635,-18.832866,659.75838,6377.8688,2746.2045,-2140.8169,343.13727,9558.5289,10070.777,-129.51686,17.036034,1050.01762,.
2032.0,686.66351,5.2222222,4.8888889,6.0,5.3983,12.2168,154.83028,9634.367,89.349,173.879,64.3741,5.2222222,5.7777778,5.5555555,0.414,5.2222222,6.2222222,4.5555556,2.2441,727.06233,0.18082221455623906,0.23499999923500067,0.22000000072000064,0.27000000027000076,1.0000000005557301,0.9999999997544363,0.5955010769139153,0.9416083955642588,0.9999999999776165,1.0000000000230052,0.9999999999378634,0.23499999923500067,0.2600000012600007,0.2499999977500007,0.05670456101903854,0.23499999923500067,0.2799999992800008,0.2050000022050006,1.0000000003119294,1.000000000330095,17.066371,416.73059,6034.6917,3356.0916,-69.580854,-31.949586,-36.071329,-17.066371,-6.0950301,-2.0736988,-13.082315,661.88806,6396.28,2755.8533,-2142.0164,344.15199,9478.7801,9988.9162,-129.24157,17.066371,1086.10619,.
2033.0,686.66351,5.4444444,5.0,6.1111111,5.3983,12.2168,154.83028,9634.367,89.349,173.879,64.3741,5.4444444,6.0,5.7777778,0.402,5.3333333,6.2222222,4.6666667,2.2441,727.06233,0.18082221455623906,0.24499999824500068,0.22500000022500063,0.2749999997750008,1.0000000005557308,0.9999999997544367,0.5955010769139153,0.9416083955642623,0.9999999999776161,1.0000000000230052,0.999999999937863,0.24499999824500068,0.27000000027000076,0.2600000012600007,0.05506095055471858,0.23999999874000066,0.2799999992800008,0.2100000017100006,1.0000000003119294,1.000000000330095,17.082023,417.94744,6015.3321,3372.4929,-70.418775,-38.376172,-36.553958,-17.082023,-11.367805,-2.6954002,-19.178504,663.83583,6414.542,2764.925,-2152.9828,345.15678,9397.9326,9905.8626,-129.62228,17.082023,1122.06695,.
2034.0,686.66351,5.5555556,5.0,6.3333333,5.3983,12.2168,154.83028,9634.367,89.349,173.879,64.3741,5.5555556,6.1111111,5.8888889,0.39,5.5555556,6.3333333,4.6666667,2.2441,727.06233,0.18082221455623912,0.2500000022500007,0.22500000022500063,0.28499999878500076,1.0000000005557308,0.9999999997544368,0.5955010769139154,0.941608395564261,0.9999999999776161,1.0000000000230045,0.9999999999378628,0.2500000022500007,0.2749999997750008,0.2650000007650008,0.05341734009039865,0.2500000022500007,0.28499999878500076,0.2100000017100006,1.0000000003119283,1.000000000330095,17.091284,420.18874,5995.5346,3390.1157,-69.305845,-38.578621,-36.810657,-17.091284,-11.482471,-2.6845467,-19.238063,667.76907,6432.6976,2773.4512,-2163.9146,346.99901,9316.0602,9821.6532,-129.86327,17.091284,1157.82637,.
